Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,1-0000007,148.84,-101.85,148.84,-101.85,148.84,-101.85,T,90,1-0000007
C2,1-0000007,148.08,-116.58,148.08,-116.58,148.08,-116.58,T,-90,1-0000007
C3,1-0000007,146.30,-116.58,146.30,-116.58,146.30,-116.58,T,-90,1-0000007
C4,1-0000075,165.60,-138.43,165.60,-138.43,165.60,-138.43,T,0,1-0000075
C5,1-0000018,165.60,-140.46,165.60,-140.46,165.60,-140.46,T,0,1-0000018
C6,1-0000007,146.81,-101.85,146.81,-101.85,146.81,-101.85,T,90,1-0000007
C7,1-0000007,165.60,-142.24,165.60,-142.24,165.60,-142.24,T,0,1-0000007
C8,1-0000007,183.13,-132.33,183.13,-132.33,183.13,-132.33,T,180,1-0000007
C9,1-0000007,124.20,-143.25,124.20,-143.25,124.20,-143.25,T,180,1-0000007
C10,1-0000007,136.65,-90.17,136.65,-90.17,136.65,-90.17,T,180,1-0000007
C11,1-0000007,132.08,-143.25,132.08,-143.25,132.08,-143.25,T,180,1-0000007
C12,1-0000075,137.16,-121.15,137.16,-121.15,137.16,-121.15,T,90,1-0000075
C13,1-0000075,134.11,-117.85,134.11,-117.85,134.11,-117.85,T,0,1-0000075
C14,1-0000007,134.11,-115.82,134.11,-115.82,134.11,-115.82,T,0,1-0000007
D1,LED_0805_2012Metric,153.41,-101.85,153.41,-101.85,153.41,-101.85,T,90,Blue
D2,LED_0805_2012Metric,172.97,-124.96,172.97,-124.96,172.97,-124.96,T,180,Blue
D3,LED_0805_2012Metric,172.97,-127.25,172.97,-127.25,172.97,-127.25,T,180,Yellow
D4,LED_0805_2012Metric,134.11,-113.03,134.11,-113.03,134.11,-113.03,T,0,Green
F1,Fuse_1812_4532Metric,136.65,-94.23,136.65,-94.23,136.65,-94.23,T,90,Polyfuse
FID1,Fiducial_1mm_Mask2mm,187.19,-97.02,187.19,-97.02,187.19,-97.02,T,0,Fiducial
FID2,Fiducial_1mm_Mask2mm,113.53,-136.90,113.53,-136.90,113.53,-136.90,T,0,Fiducial
Q1,SOT-23,167.64,-93.21,167.64,-93.21,167.64,-93.21,T,0,BSS138
Q2,SOT-23,167.64,-101.85,167.64,-101.85,167.64,-101.85,T,0,BSS138
R1,1-0000013,164.84,-93.21,164.84,-93.21,164.84,-93.21,T,-90,1-0000013
R2,1-0000013,170.43,-93.21,170.43,-93.21,170.43,-93.21,T,90,1-0000013
R3,1-0000013,164.84,-101.85,164.84,-101.85,164.84,-101.85,T,-90,1-0000013
R4,1-0000013,170.43,-101.85,170.43,-101.85,170.43,-101.85,T,90,1-0000013
R5,1-0000010,139.19,-109.47,139.19,-109.47,139.19,-109.47,T,0,1-0000010
R6,1-0000008,150.87,-101.85,150.87,-101.85,150.87,-101.85,T,90,1-0000008
R7,1-0000006,183.13,-130.55,183.13,-130.55,183.13,-130.55,T,0,1-0000006
R8,1-0000008,168.91,-124.96,168.91,-124.96,168.91,-124.96,T,0,1-0000008
R9,1-0000008,168.91,-127.25,168.91,-127.25,168.91,-127.25,T,0,1-0000008
R10,1-0000006,139.19,-111.25,139.19,-111.25,139.19,-111.25,T,0,1-0000006
R11,1-0000006,139.19,-113.03,139.19,-113.03,139.19,-113.03,T,0,1-0000006
R12,1-0000006,120.39,-123.95,120.39,-123.95,120.39,-123.95,T,90,1-0000006
R13,1-0000006,122.17,-123.95,122.17,-123.95,122.17,-123.95,T,90,1-0000006
R14,1-0000006,168.91,-132.84,168.91,-132.84,168.91,-132.84,T,0,1-0000006
R15,1-0000006,168.91,-130.81,168.91,-130.81,168.91,-130.81,T,0,1-0000006
R16,1-0000010,136.90,-135.89,136.90,-135.89,136.90,-135.89,T,180,1-0000010
R17,1-0000008,134.11,-110.74,134.11,-110.74,134.11,-110.74,T,0,1-0000008
R18,1-0000010,168.91,-97.79,168.91,-97.79,168.91,-97.79,T,0,1-0000010
U2,TQFP-32_7x7mm_P0.8mm,146.81,-109.22,146.81,-109.22,146.81,-109.22,T,90,ATmega328P-AU
U5,ublox_SAM-M8Q,127.00,-134.11,127.00,-134.11,127.00,-134.11,T,90,ublox_SAM-M8Q
U6,SOT-23-5,134.11,-121.15,134.11,-121.15,134.11,-121.15,T,90,MIC5219-3.3YM5
